state,district,district_code,pop_2011,method,villages
Andaman and Nicobar Islands,NICOBARS,638,35779,blended,86.0
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,639,105930,census2011,305.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,640,238872,census2011,191.0
Andhra Pradesh,Alluri Sitarama Raju,684,3661007,blended,376.0
Andhra Pradesh,Anakapalli,685,1552458,census2011,465.0
Andhra Pradesh,Ananthapuramu,553,2233808,census2011,512.0
Andhra Pradesh,Annamayya,693,1458898,blended,224.0
Andhra Pradesh,Bapatla,691,1792828,blended,583.0
Andhra Pradesh,Chittoor,554,1900506,census2011,847.0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,687,1172319,census2011,223.0
Andhra Pradesh,East Godavari,545,1694071,blended,271.0
Andhra Pradesh,Eluru,688,2533959,blended,291.0
Andhra Pradesh,Guntur,548,1074025,census2011,201.0
Andhra Pradesh,Kakinada,686,1514240,census2011,144.0
Andhra Pradesh,Krishna,547,2035649,census2011,497.0
Andhra Pradesh,Kurnool,552,1866517,census2011,476.0
Andhra Pradesh,NTR,689,1763847,census2011,176.0
Andhra Pradesh,Nandyal,694,2286334,census2011,348.0
Andhra Pradesh,Palnadu,690,3153668,census2011,382.0
Andhra Pradesh,Parvathipuram Manyam,683,965360,blended,165.0
Andhra Pradesh,Prakasam,549,2822529,census2011,872.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,550,2529991,blended,728.0
Andhra Pradesh,Sri Sathya Sai,695,1967670,census2011,199.0
Andhra Pradesh,Srikakulam,542,1942334,census2011,1428.0
Andhra Pradesh,Tirupati,692,1818614,blended,373.0
Andhra Pradesh,Visakhapatnam,544,466714,blended,95.0
Andhra Pradesh,Vizianagaram,543,2092958,blended,970.0
Andhra Pradesh,West Godavari,546,1146158,census2011,299.0
Andhra Pradesh,Y.S.R.,551,1954000,census2011,729.0
Arunachal Pradesh,ANJAW,260,18748,census2011,0.0
Arunachal Pradesh,BICHOM,788,26947,area_share,0.0
Arunachal Pradesh,CHANGLANG,253,144249,census2011,0.0
Arunachal Pradesh,DIBANG VALLEY,257,7871,area_share,0.0
Arunachal Pradesh,EAST KAMENG,247,44539,census2011,0.0
Arunachal Pradesh,EAST SIANG,251,41837,area_share,0.0
Arunachal Pradesh,KAMLE,733,51100,area_share,0.0
Arunachal Pradesh,KEYI PANYOR,789,42310,area_share,0.0
Arunachal Pradesh,KRA DAADI,721,31538,census2011,246.0
Arunachal Pradesh,KURUNG KUMEY,256,62189,census2011,0.0
Arunachal Pradesh,LEPA RADA,729,10341,census2011,0.0
Arunachal Pradesh,LOHIT,259,93174,area_share,0.0
Arunachal Pradesh,LONGDING,680,48699,census2011,424.0
Arunachal Pradesh,LOWER DIBANG VALLEY,258,31748,census2011,0.0
Arunachal Pradesh,LOWER SIANG,723,30643,area_share,0.0
Arunachal Pradesh,LOWER SUBANSIRI,255,8729,census2011,0.0
Arunachal Pradesh,NAMSAI,724,47658,census2011,0.0
Arunachal Pradesh,PAKKE KESSANG,726,23662,census2011,0.0
Arunachal Pradesh,PAPUMPARE,248,144822,census2011,0.0
Arunachal Pradesh,SHI YOMI,730,35999,area_share,0.0
Arunachal Pradesh,SIANG,722,150926,blended,314.0
Arunachal Pradesh,TAWANG,245,48527,census2011,0.0
Arunachal Pradesh,TIRAP,254,54464,census2011,0.0
Arunachal Pradesh,UPPER SIANG,252,32360,census2011,0.0
Arunachal Pradesh,UPPER SUBANSIRI,249,73724,census2011,0.0
Arunachal Pradesh,WEST KAMENG,246,58931,census2011,0.0
Arunachal Pradesh,WEST SIANG,250,17992,census2011,0.0
Assam,BAJALI,771,347190,area_share,0.0
Assam,BAKSA,324,644490,area_share,0.0
Assam,BARPETA,303,1249015,census2011,0.0
Assam,BISWANATH,734,802369,census2011,258.0
Assam,BONGAIGAON,319,732606,area_share,0.0
Assam,CACHAR,316,1692478,census2011,0.0
Assam,CHARAIDEO,704,430435,census2011,0.0
Assam,CHIRANG,320,484461,area_share,0.0
Assam,DARANG,325,879320,area_share,0.0
Assam,DHEMAJI,308,628833,census2011,0.0
Assam,DHUBRI,301,1536110,census2011,0.0
Assam,DIBRUGARH,310,1284755,census2011,0.0
Assam,DIMA HASAO,315,208267,census2011,0.0
Assam,GOALPARA,302,929871,census2011,0.0
Assam,GOLAGHAT,313,989342,census2011,0.0
Assam,HAILAKANDI,318,638555,census2011,0.0
Assam,HOJAI,720,1004841,census2011,343.0
Assam,JORHAT,312,661885,census2011,0.0
Assam,KAMRUP METRO,322,938849,area_share,0.0
Assam,KAMRUP RURAL,321,1739069,area_share,0.0
Assam,KARBI ANGLONG,314,655159,census2011,0.0
Assam,KOKRAJHAR,300,891372,area_share,0.0
Assam,LAKHIMPUR,307,1020821,census2011,0.0
Assam,MAJULI,707,442902,area_share,0.0
Assam,MARIGAON,304,884980,census2011,0.0
Assam,NAGAON,305,1745268,census2011,0.0
Assam,NALBARI,323,757493,area_share,0.0
Assam,SIBSAGAR,311,688055,census2011,0.0
Assam,SONITPUR,306,1098720,census2011,0.0
Assam,SOUTH SALMARA,664,255118,census2011,0.0
Assam,SRIBHUMI,317,1163257,area_share,0.0
Assam,TAMULPUR,766,1388011,blended,1075.0
Assam,TINSUKIA,309,1301542,census2011,0.0
Assam,UDALGURI,326,817787,area_share,0.0
Assam,WEST KARBI ANAGLONG,752,272347,census2011,476.0
Bihar,Araria,209,2806898,census2011,734.0
Bihar,Arwal,240,661150,census2011,315.0
Bihar,Aurangabad,235,2564825,census2011,1852.0
Bihar,Banka,225,2045923,blended,2097.0
Bihar,Begusarai,222,2955569,census2011,1137.0
Bihar,Bhagalpur,224,3063373,census2011,1519.0
Bihar,Bhojpur,231,2748353,census2011,1194.0
Bihar,Buxar,232,1713560,census2011,1119.0
Bihar,Darbhanga,215,4100963,blended,1247.0
Bihar,Gaya,236,4422156,census2011,2834.0
Bihar,Gopalganj,217,2573785,census2011,1525.0
Bihar,Jamui,238,1765337,census2011,1507.0
Bihar,Jehanabad,239,1156211,blended,573.0
Bihar,Kaimur (Bhabua),233,1632430,census2011,1685.0
Bihar,Katihar,212,3076670,census2011,1528.0
Bihar,Khagaria,223,1677533,census2011,285.0
Bihar,Kishanganj,210,1692838,blended,769.0
Bihar,Lakhisarai,227,961204,blended,467.0
Bihar,Madhepura,213,2004898,blended,429.0
Bihar,Madhubani,207,4584705,census2011,1090.0
Bihar,Munger,226,1374222,blended,850.0
Bihar,Muzaffarpur,216,4827227,census2011,1737.0
Bihar,Nalanda,229,2907051,census2011,987.0
Bihar,Nawada,237,2210826,census2011,1057.0
Bihar,Pashchim Champaran,203,3980888,census2011,1463.0
Bihar,Patna,230,5784679,census2011,1378.0
Bihar,Purba Champaran,204,5146506,census2011,1275.0
Bihar,Purnia,211,3251889,census2011,1227.0
Bihar,Rohtas,234,2984513,census2011,1980.0
Bihar,Saharsa,214,1883790,census2011,458.0
Bihar,Samastipur,221,3912435,census2011,1148.0
Bihar,Saran,219,3958308,census2011,1740.0
Bihar,Sheikhpura,228,662779,blended,287.0
Bihar,Sheohar,205,683510,blended,197.0
Bihar,Sitamarhi,206,3260983,census2011,815.0
Bihar,Siwan,218,3346257,census2011,1514.0
Bihar,Supaul,208,2205224,census2011,548.0
Bihar,Vaishali,220,3509985,census2011,1515.0
Chandigarh,CHANDIGARH,55,1055450,census2011,35.0
Chhattisgarh,BALOD,645,1319276,census2011,751.0
Chhattisgarh,BALODA BAZAR,646,1299581,census2011,766.0
Chhattisgarh,BALRAMPUR,642,949237,census2011,435.0
Chhattisgarh,BASTAR,414,717379,blended,622.0
Chhattisgarh,BEMETARA,644,1112540,census2011,755.0
Chhattisgarh,BIJAPUR,417,252415,census2011,752.0
Chhattisgarh,BILASPUR,406,1140557,census2011,708.0
Chhattisgarh,DAKSHIN BASTAR DANTEWARA,416,168700,census2011,256.0
Chhattisgarh,DHAMTARI,412,803752,census2011,685.0
Chhattisgarh,DURG,409,899331,census2011,394.0
Chhattisgarh,GARIYABAND,647,1591045,census2011,703.0
Chhattisgarh,GAURELA-PENDRA-MARWAHI,669,639668,census2011,727.0
Chhattisgarh,JANJGIR - CHAMPA,405,930498,census2011,444.0
Chhattisgarh,JASHPUR,402,854099,census2011,1102.0
Chhattisgarh,KAWARDHA (KABIRDHAM),407,821339,census2011,1057.0
Chhattisgarh,KHAIRGARH-CHHUIKHADAN-GANDAI,755,444624,census2011,0.0
Chhattisgarh,KONDAGAON,648,697653,census2011,641.0
Chhattisgarh,KORBA,404,1211399,census2011,808.0
Chhattisgarh,KOREA,400,247263,census2011,304.0
Chhattisgarh,MAHASAMUND,411,1030211,census2011,1242.0
Chhattisgarh,MANENDRAGARH-CHIRMIRI-BHARATPUR,758,412863,census2011,0.0
Chhattisgarh,MOHLA-MANPUR-AMBAGARH CHOWKI,756,468694,census2011,0.0
Chhattisgarh,MUNGELI,643,885696,census2011,618.0
Chhattisgarh,NARAYANPUR,415,144234,blended,444.0
Chhattisgarh,RAIGARH,403,1172143,census2011,1048.0
Chhattisgarh,RAIPUR,410,953024,census2011,458.0
Chhattisgarh,RAJNANDGAON,408,626305,census2011,731.0
Chhattisgarh,SAKTI,759,688072,census2011,527.0
Chhattisgarh,SARANGARH-BILAIGARH,757,544096,area_share,0.0
Chhattisgarh,SUKMA,649,328191,census2011,751.0
Chhattisgarh,SURAJPUR,641,816860,census2011,992.0
Chhattisgarh,SURGUJA,401,604019,census2011,635.0
Chhattisgarh,UTTAR BASTAR KANKER,413,770434,blended,1184.0
Dadra and Nagar Haveli and Daman and Diu,DADRA AND NAGAR HAVELI,496,343164,blended,60.0
Dadra and Nagar Haveli and Daman and Diu,DAMAN,495,185686,blended,24.0
Dadra and Nagar Haveli and Daman and Diu,DIU,494,49354,census2011,7.0
Delhi,CENTRAL,95,799575,blended,19.0
Delhi,EAST,93,1114056,census2011,16.0
Delhi,NAZUL,,732989,area_share,0.0
Delhi,NEW DELHI,94,194984,blended,22.0
Delhi,NORTH,91,1219269,blended,70.0
Delhi,NORTH EAST,92,1005683,blended,22.0
Delhi,NORTH WEST,90,1711505,census2011,37.0
Delhi,SHAHDARA,676,2820107,blended,212.0
Delhi,SOUTH,98,1647066,blended,44.0
Delhi,SOUTH EAST,677,1417770,census2011,0.0
Delhi,SOUTH WEST,97,1949768,census2011,70.0
Delhi,WEST,96,2175169,blended,31.0
Goa,KUSHAVATI,793,422969,census2011,0.0
Goa,NORTH GOA,585,559190,census2011,220.0
Goa,SOUTH GOA,586,476386,blended,213.0
Gujarat,AHMADABAD,474,6496453,census2011,574.0
Gujarat,AMRELI,480,1427317,census2011,692.0
Gujarat,ANAND,482,2100423,census2011,436.0
Gujarat,ARVALLI,650,1053947,census2011,699.0
Gujarat,BANAS KANTHA,469,3152346,census2011,1259.0
Gujarat,BHARUCH,488,1521670,blended,711.0
Gujarat,BHAVNAGAR,481,2329324,census2011,752.0
Gujarat,BOTAD,653,1057895,blended,118.0
Gujarat,CHHOTAUDEPUR,654,1941542,census2011,133.0
Gujarat,DAHOD,485,2190352,census2011,717.0
Gujarat,DANGS,489,231744,census2011,310.0
Gujarat,DEVBHUMI DWARKA,656,846677,area_share,0.0
Gujarat,GANDHINAGAR,473,1401533,blended,295.0
Gujarat,GIR SOMNATH,652,564694,blended,79.0
Gujarat,JAMNAGAR,477,1707586,blended,476.0
Gujarat,JUNAGADH,479,2074644,census2011,571.0
Gujarat,KACHCHH,468,2090570,blended,939.0
Gujarat,KHEDA,483,1995596,census2011,596.0
Gujarat,MAHESANA,471,2031996,census2011,669.0
Gujarat,MAHISAGAR,655,750914,blended,78.0
Gujarat,MORBI,657,1475820,area_share,0.0
Gujarat,NARMADA,487,595064,census2011,616.0
Gujarat,NAVSARI,490,1331457,census2011,404.0
Gujarat,PANCH MAHALS,484,1498314,census2011,634.0
Gujarat,PATAN,470,1362004,census2011,551.0
Gujarat,PORBANDAR,478,593588,census2011,176.0
Gujarat,RAJKOT,476,2648396,census2011,668.0
Gujarat,SABAR KANTHA,472,1396009,census2011,745.0
Gujarat,SURAT,492,6108237,census2011,748.0
Gujarat,SURENDRANAGAR,475,1660322,blended,616.0
Gujarat,TAPI,493,807495,census2011,495.0
Gujarat,VADODARA,486,2284641,census2011,701.0
Gujarat,VALSAD,491,1711120,census2011,501.0
Haryana,AMBALA,70,1109877,census2011,487.0
Haryana,BHIWANI,81,1163029,census2011,442.0
Haryana,CHARKI DADRI,732,488072,census2011,0.0
Haryana,FARIDABAD,88,1678700,census2011,189.0
Haryana,FATEHABAD,78,980269,blended,244.0
Haryana,GURUGRAM,86,1524153,census2011,287.0
Haryana,HISAR,80,1699184,census2011,267.0
Haryana,JHAJJAR,83,957466,blended,263.0
Haryana,JIND,77,1305897,census2011,305.0
Haryana,KAITHAL,73,1086526,blended,278.0
Haryana,KARNAL,74,1418199,census2011,430.0
Haryana,KURUKSHETRA,72,1003833,blended,418.0
Haryana,MAHENDRAGARH,84,926603,blended,360.0
Haryana,NUH,87,1154943,blended,441.0
Haryana,PALWAL,89,1085056,blended,281.0
Haryana,PANCHKULA,69,584089,blended,243.0
Haryana,PANIPAT,75,1254394,blended,195.0
Haryana,REWARI,85,895419,census2011,403.0
Haryana,ROHTAK,82,1033688,census2011,145.0
Haryana,SIRSA,79,1314516,census2011,327.0
Haryana,SONIPAT,76,1479068,blended,344.0
Haryana,YAMUNANAGAR,71,1208482,census2011,655.0
Himachal Pradesh,BILASPUR,30,379805,census2011,0.0
Himachal Pradesh,CHAMBA,23,518525,census2011,0.0
Himachal Pradesh,HAMIRPUR,28,452435,census2011,0.0
Himachal Pradesh,KANGRA,24,1514722,census2011,0.0
Himachal Pradesh,KINNAUR,34,84562,census2011,0.0
Himachal Pradesh,KULLU,26,437946,census2011,0.0
Himachal Pradesh,LAHUL & SPITI,25,31725,census2011,0.0
Himachal Pradesh,MANDI,27,1003341,census2011,0.0
Himachal Pradesh,SHIMLA,33,814670,census2011,0.0
Himachal Pradesh,SIRMAUR,32,532571,census2011,0.0
Himachal Pradesh,SOLAN,31,573174,census2011,0.0
Himachal Pradesh,UNA,29,521126,census2011,0.0
Jammu and Kashmir,ANANTNAG,14,1094123,area_share,0.0
Jammu and Kashmir,BADGAM,2,815408,area_share,0.0
Jammu and Kashmir,BANDIPURA,9,618195,area_share,0.0
Jammu and Kashmir,BARAMULA,8,738332,area_share,0.0
Jammu and Kashmir,DODA,16,451445,area_share,0.0
Jammu and Kashmir,GANDERBAL,11,341209,area_share,0.0
Jammu and Kashmir,JAMMU,21,1645043,area_share,0.0
Jammu and Kashmir,KATHUA,7,707130,area_share,0.0
Jammu and Kashmir,KISHTWAR,18,264638,area_share,0.0
Jammu and Kashmir,KULGAM,15,332894,area_share,0.0
Jammu and Kashmir,KUPWARA,1,998407,area_share,0.0
Jammu and Kashmir,MIRPUR,,24738,area_share,0.0
Jammu and Kashmir,MUZAFFARABAD,,1532,area_share,0.0
Jammu and Kashmir,PULWAMA,12,642896,area_share,0.0
Jammu and Kashmir,PUNCH,5,536312,census2011,0.0
Jammu and Kashmir,RAJAURI,6,746023,area_share,0.0
Jammu and Kashmir,RAMBAN,17,325455,area_share,0.0
Jammu and Kashmir,RIASI,20,311577,area_share,0.0
Jammu and Kashmir,SAMBA,22,365817,area_share,0.0
Jammu and Kashmir,SHUPIYAN,13,305383,area_share,0.0
Jammu and Kashmir,SRINAGAR,10,315854,area_share,0.0
